단지명,회사명,"공장대표주소(지번, 도로명 주소)",매핑된 업종명
화성동탄일반산업단지,란테크(주),경기도 화성시 방교동 840-1번지,기타
화성동탄일반산업단지,레이저쎌(주),경기도 화성시 방교동 839-6,전기전자
화성동탄일반산업단지,리베라프라자,경기도 화성시 방교동 778-1번지,기타
화성동탄일반산업단지,멜콘(주),경기도 화성시 방교동 824-3번지,기타
화성동탄일반산업단지,미르호(주),경기도 화성시 방교동 846-6번지,기타
화성동탄일반산업단지,범한유니솔루션(주),경기도 화성시 방교동 846-4번지,기타
화성동탄일반산업단지,브라운앤드왓슨인터내셔널(유),경기도 화성시 방교동 825-3번지,운송장비
화성동탄일반산업단지,삼성기전(주),경기도 화성시 동탄면 826-1번지,전기전자
화성동탄일반산업단지,삼성전자로지텍(주),경기도 화성시 방교동 800-1,기타
화성동탄일반산업단지,삼영씨티(주),경기도 화성시 방교동 846-9,기타
화성동탄일반산업단지,삼우정공,경기도 화성시 방교동 832-5,기타
화성동탄일반산업단지,상원로지스틱(주),경기도 화성시 방교동 802-3번지,기타
화성동탄일반산업단지,새한프라스틱,경기도 화성시 방교동 835-8,위험물등
화성동탄일반산업단지,서원조명공업(주),경기도 화성시 방교동 826-2번지,전기전자
화성동탄일반산업단지,서진산업,경기도 화성시 방교동 798-1번지,운송장비
화성동탄일반산업단지,성복산업,경기도 화성시 방교동 838-1,전기전자
화성동탄일반산업단지,성신이엔지,경기도 화성시 방교동 837-8,전기전자
화성동탄일반산업단지,성원정밀,경기도 화성시 방교동 796-3,기타
화성동탄일반산업단지,성준전기(주),경기도 화성시 방교동 874-11번지,전기전자
화성동탄일반산업단지,세흥 지이티이에스(주),경기도 화성시 방교동 837-5,기타
화성동탄일반산업단지,세흥지이티이에스(주),경기도 화성시 방교동 874-13번지,기타
화성동탄일반산업단지,솔바이더,경기도 화성시 방교동 837-8,전기전자
화성동탄일반산업단지,솔테크놀로지(주),경기도 화성시 방교동 798-8,기타
화성동탄일반산업단지,수성지엔(주) ,경기도 화성시 동탄산단9길 9-7,전기전자
화성동탄일반산업단지,스카니아코리아그룹(주),경기도 화성시 동탄면 831-4번지,기타
화성동탄일반산업단지,스프레딩센트컴퍼니(주),경기도 화성시 방교동 798-1번지,기타
화성동탄일반산업단지,신오금형,경기도 화성시 방교동 838-7번지,기타
화성동탄일반산업단지,아레이몬드 유한회사 ,경기도 화성시 방교동 835-9번지,위험물등
화성동탄일반산업단지,아리공구,경기도 화성시 방교동 798-7번지,기타
화성동탄일반산업단지,아이텍(주),경기도 화성시 방교동 839-4,전기전자
화성동탄일반산업단지,알프스,경기도 화성시 방교동 875-10,전기전자
화성동탄일반산업단지,어플라이드 머티어리얼즈 코리아(주),경기도 화성시 방교동 801,전기전자
화성동탄일반산업단지,에스에스아이,경기도 화성시 방교동 836-5번지,전기전자
화성동탄일반산업단지,에스케이케미칼(주),경기도 화성시 방교동 874-7번지,기타
화성동탄일반산업단지,에이티시스템(주),경기도 화성시 방교동 875-9번지,전기전자
화성동탄일반산업단지,에이피시스템(주),경기도 화성시 방교동 826-5,전기전자
화성동탄일반산업단지,에이피에스리서치(주),경기도 화성시 방교동 824-8,전기전자
화성동탄일반산업단지,엘씨스퀘어(주),경기도 화성시 방교동 838-3번지,기타
화성동탄일반산업단지,엘토로,경기도 화성시 방교동 835-3,전기전자
화성동탄일반산업단지,엠에스피씨코리아유한회사,경기도 화성시 방교동 785-1번지,전기전자
화성동탄일반산업단지,엠플러스,경기도 화성시 방교동 842-5,전기전자
화성동탄일반산업단지,연우정밀,경기도 화성시 방교동 800-8,기타
화성동탄일반산업단지,연우정밀(주),경기도 화성시 방교동 800-8,기타
화성동탄일반산업단지,오벌엔지니어링(주),경기도 화성시 방교동 797-6,기타
화성동탄일반산업단지,와이지다이아몬드,경기도 화성시 방교동 800-5번지,기타
화성동탄일반산업단지,워트(주),경기도 화성시 방교동 783-1번지,전기전자
화성동탄일반산업단지,유비파워,경기도 화성시 방교동 846-4번지,전기전자
